1,4
11537,1116
56994,2
3,12
293,30
3549,5280
6939,15095
23248,8
37619,7
136882,1
139438,2
4,2
38315,1
53959,1
58824,1
263478,10
265007,1
5,2
265498,1
6,1
64031,1
8,3
1700,1
262308,1
262907,53
9,1
10,2
131401,1
12,3
54965,1
394666,1
18,1
276,17
19,1
24,2
2153,175
7575,96
10343,1
22388,1
29,1
33,3
13979,7
54680,1
34,3
2,2
35,2
5691,1
42,11
187,1
286,659
553,16
680,34
701,3310
715,3
852,242
1103,24
1140,2
1267,85
1273,8139
1280,3
1403,2
1764,320
1798,1
1916,75
2152,154
2381,143
2497,458
2603,247
2613,2
2895,5
2905,1
3130,3
3214,8
3216,2812
3267,666
3280,3
3292,194
3303,718
3320,3327
3333,3
3402,11
3491,9931
3741,220
4181,54
4608,8
4637,4466
4657,296
4739,24
4777,4
4788,313
4826,1087
4844,4
5413,16
5645,17
5650,193
5713,116
5769,43
6079,134
6082,1
6233,3
6423,4
6461,12194
6663,458
6667,130
6720,1
6730,192
6762,17534
6830,2736
6908,47
7195,264
7473,4308
7489,8
7500,3
7545,479
7660,16
7713,324
7922,2483
8218,625
8220,1167
8283,11
8359,1705
8426,23
8447,325
8455,211
8468,53
8492,49
8607,13
8732,456
8758,30
8896,16
9002,6770
9266,1
9304,1081
9902,55
10886,49
11039,1
11096,65
11164,804
11686,13
11708,2
12307,10
12350,7
12389,3553
12552,247
12637,15
12779,51
12859,17
12956,4397
13004,55
13030,377
13237,317
13786,1027
14061,2
14361,7
14537,15
14630,1
14840,539
14907,2
15008,1
15412,2026
15435,2
15547,8
15605,4
15623,22
15692,1
15704,40
16347,20
16552,1
16668,2
16735,2760
17639,57
18106,45
19151,70
19281,1
19653,13
20080,45
20485,2974
20562,284
20612,2
20764,2283
20811,21
20932,9
21232,5
21320,112
21412,2
21556,1
22652,90
23106,350
23367,4
23473,18
23673,2
24441,1
24482,190
24516,27
24875,179
24961,59
25091,79
25152,1
25160,19
25220,3
25885,2
26073,5
27446,11
28186,197
28329,719
28634,9
28716,103
28792,1
28917,1249
29075,179
29076,1189
29140,5
29208,110
29222,4
29467,28
29479,1
29504,1
29608,18
29680,1
29686,5
29691,27
29791,251
29802,48
30132,2
31019,1
31025,54
31133,2429
31424,13
31500,916
31742,5
32097,25
32354,6
33891,1322
34019,26
34177,16
34224,143
34288,3
34549,47
34800,2
34854,6
34872,17
34927,25
35266,14
35313,10
35369,14
